"Region Code","Region","Commodity description","Estimate","Number of agricultural businesses","Type","Category","Process"
0,"Australia","Water source - Total volume of water from all sources (ML) (b)","6464546.16","48904.83","Water source","",""
0,"Australia","Water source - Water taken from irrigation channels or irrigation pipelines - Total volume used (ML)","2240777.84","7204.04","Water source","Water taken from irrigation channels or irrigation pipelines ","Total volume used (ML)"
0,"Australia","Water source - Water taken from on-farm dams or tanks - Total volume used (ML)","541492.59","20270.82","Water source","Water taken from on-farm dams or tanks","Total volume used (ML)"
0,"Australia","Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)","1406309.91","9391.22","Water source","Water taken from rivers, creeks, lakes, etc. ","Total volume used (ML)"
0,"Australia","Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)","1157611.44","4855.88","Water source","Water taken from rivers, creeks, lakes, etc. ","Total volume used (ML)"
0,"Australia","Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)","248698.47","4674.24","Water source","Water taken from rivers, creeks, lakes, etc. ","Total volume used (ML)"
0,"Australia","Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)","2104030.92","20776.32","Water source","Groundwater (e.g. bores, springs, wells) ","Total volume used (ML)"
0,"Australia","Water source - Recycled/re-used water from off-farm sources (e.g. re-use schemes, mines) - Total volume used (ML)","123999.95","1016.85","Water source","Recycled/reused water from off-farm sources (e.g. re-use schemes, mines) ","Total volume used (ML)"
0,"Australia","Water source - Town or reticulated mains supply - Total volume used (ML)","43447.05","5290.8","Water source","Town or reticulated mains supply ","Total volume used (ML)"
0,"Australia","Water source - Other sources of water (excluding rainfall) - Total volume used (ML)","4487.89","105.8","Water source","Other sources of water (excluding rainfall) ","Total volume used (ML)"
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
