"Region Code","Region","Commodity description","Estimate","Number of agricultural businesses","Type","Category","Process"
0,"Australia","Water use - Total area watered (ha)","1520939.6","20732.67","Water use","",""
0,"Australia","Water use - Total volume applied (ML)","5661146.86","20732.67","Water use","",""
0,"Australia","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Total area grown (ha)","324778718.1","66941.93","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Total area grown (ha)"
0,"Australia","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Area watered (ha)","460671.43","5977.64","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Area watered (ha)"
0,"Australia","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Volume applied (ML)","1260160.4","5977.64","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Volume applied (ML)"
0,"Australia","Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)","2356057.57","25681.28","Water use"," Pastures (including lucerne), cereal and other crops cut for hay and silage ","Total area grown (ha)"
0,"Australia","Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Area watered (ha)","187905.4","3458.64","Water use","Pastures (including lucerne) and cereal crops cut for hay and silage ","Area watered (ha)"
0,"Australia","Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Volume applied (ML)","589213.4","3458.64","Water use","Pastures (including lucerne) and cereal crops cut for hay and silage ","Volume applied (ML)"
0,"Australia","Water use - Vegetables - Total area grown (ha)","105145.77","3605.12","Water use","Vegetables ","Total area grown (ha)"
0,"Australia","Water use - Vegetables - Area watered (ha)","87332.18","2993.07","Water use","Vegetables ","Area watered (ha)"
0,"Australia","Water use - Vegetables - Volume applied (ML)","356272.36","2993.07","Water use","Vegetables ","Volume applied (ML)"
0,"Australia","Water use - Fruit trees, nut trees, plantation or berry fruits - Total area grown (ha)","200345.95","5748.76","Water use","Fruit trees, nut trees, plantation or berry fruits ","Total area grown (ha)"
0,"Australia","Water use - Fruit trees, nut trees, plantation or berry fruits - Area watered (ha)","172790","4230.48","Water use","Fruit trees, nut trees, plantation or berry fruits ","Area watered (ha)"
0,"Australia","Water use - Fruit trees, nut trees, plantation or berry fruits - Volume applied (ML)","1071134.34","4230.48","Water use","Fruit trees, nut trees, plantation or berry fruits ","Volume applied (ML)"
0,"Australia","Water use - Grapevines - Total area grown (ha)","136220.7","4087.46","Water use","Grapevines ","Total area grown (ha)"
0,"Australia","Water use - Grapevines - Area watered (ha)","123986.51","3564.12","Water use","Grapevines ","Area watered (ha)"
0,"Australia","Water use - Grapevines - Volume applied (ML)","469295.85","3564.12","Water use","Grapevines ","Volume applied (ML)"
0,"Australia","Water use - Nurseries, cut flowers and cultivated turf - Total area grown (ha)","15080.3","1954.39","Water use","Nurseries, cut flowers and cultivated turf ","Total area grown (ha)"
0,"Australia","Water use - Nurseries, cut flowers and cultivated turf - Area watered (ha)","11085.67","1446.13","Water use","Nurseries, cut flowers and cultivated turf ","Area watered (ha)"
0,"Australia","Water use - Nurseries, cut flowers and cultivated turf - Volume applied (ML)","48939.06","1446.13","Water use","Nurseries, cut flowers and cultivated turf ","Volume applied (ML)"
0,"Australia","Water use - Rice - Total area grown (ha)","5007.19","92.17","Water use","Rice ","Total area grown (ha)"
0,"Australia","Water use - Rice - Area watered (ha)","5007.19","92.17","Water use","Rice ","Area watered (ha)"
0,"Australia","Water use - Rice - Volume applied (ML)","61033.39","92.17","Water use","Rice ","Volume applied (ML)"
0,"Australia","Water use - Cereals for grain or seed, excluding rice - Total area grown (ha)","16118163.16","23062.16","Water use","Cereals for grain or seed, excluding rice ","Total area grown (ha)"
0,"Australia","Water use - Cereals for grain or seed, excluding rice - Area watered (ha)","158805.57","968.97","Water use","Cereals for grain or seed, excluding rice ","Area watered (ha)"
0,"Australia","Water use - Cereals for grain or seed, excluding rice - Volume applied (ML)","381317.49","968.97","Water use","Cereals for grain or seed, excluding rice ","Volume applied (ML)"
0,"Australia","Water use - Cotton - Total area grown (ha) (c)","69885.71","312.71","Water use","Cotton "," Total area grown (ha) (c)"
0,"Australia","Water use - Cotton - Area watered (ha)","54864.7","279.14","Water use","Cotton ","Area watered (ha)"
0,"Australia","Water use - Cotton - Volume applied (ML)","379601","279.14","Water use","Cotton ","Volume applied (ML)"
0,"Australia","Water use - Sugar cane - Total area grown (ha) (d)","404167.55","3189.91","Water use","Sugar cane ","Total area grown (ha) (d)"
0,"Australia","Water use - Sugar cane - Area watered (ha)","189279.33","1553.16","Water use","Sugar cane ","Area watered (ha)"
0,"Australia","Water use - Sugar cane - Volume applied (ML)","886877.96","1553.16","Water use","Sugar cane ","Volume applied (ML)"
0,"Australia","Water use - Other crops n.e.c. - Total area grown (ha) (e)","4479498.7","14318.35","Water use","Other crops n.e.c.","Total area grown (ha) (e)"
0,"Australia","Water use - Other crops n.e.c. - Area watered (ha)","69211.62","773.46","Water use","Other crops n.e.c.","Area watered (ha)"
0,"Australia","Water use - Other crops n.e.c. - Volume applied (ML)","157301.61","773.46","Water use","Other crops n.e.c.","Volume applied (ML)"
1,"New South Wales","Water use - Total area watered (ha)","365425.24","4663.75","Water use","",""
1,"New South Wales","Water use - Total volume applied (ML)","1280943.85","4663.75","Water use","",""
1,"New South Wales","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Total area grown (ha)","40002333.62","21483.97","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Total area grown (ha)"
1,"New South Wales","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Area watered (ha)","94151","1124.16","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Area watered (ha)"
1,"New South Wales","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Volume applied (ML)","187102.42","1124.16","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Volume applied (ML)"
1,"New South Wales","Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)","532862.38","5057.02","Water use"," Pastures (including lucerne), cereal and other crops cut for hay and silage ","Total area grown (ha)"
1,"New South Wales","Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Area watered (ha)","46644.52","807.5","Water use","Pastures (including lucerne) and cereal crops cut for hay and silage ","Area watered (ha)"
1,"New South Wales","Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Volume applied (ML)","137380.07","807.5","Water use","Pastures (including lucerne) and cereal crops cut for hay and silage ","Volume applied (ML)"
1,"New South Wales","Water use - Vegetables - Total area grown (ha)","10200.19","841.84","Water use","Vegetables ","Total area grown (ha)"
1,"New South Wales","Water use - Vegetables - Area watered (ha)","8066.19","705.82","Water use","Vegetables ","Area watered (ha)"
1,"New South Wales","Water use - Vegetables - Volume applied (ML)","34845.18","705.82","Water use","Vegetables ","Volume applied (ML)"
1,"New South Wales","Water use - Fruit trees, nut trees, plantation or berry fruits - Total area grown (ha)","50037.47","1846.76","Water use","Fruit trees, nut trees, plantation or berry fruits ","Total area grown (ha)"
1,"New South Wales","Water use - Fruit trees, nut trees, plantation or berry fruits - Area watered (ha)","38380.5","1105.84","Water use","Fruit trees, nut trees, plantation or berry fruits ","Area watered (ha)"
1,"New South Wales","Water use - Fruit trees, nut trees, plantation or berry fruits - Volume applied (ML)","213063.67","1105.84","Water use","Fruit trees, nut trees, plantation or berry fruits ","Volume applied (ML)"
