"State","Code","Industry","Supply use","Date","Value"
"New South Wales",1,"Total Electricity, gas, water and waste services","Supply","2014-15",10548951
"Victoria",2,"Total Electricity, gas, water and waste services","Supply","2014-15",5166018
"Queensland",3,"Total Electricity, gas, water and waste services","Supply","2014-15",1034632
"South Australia",4,"Total Electricity, gas, water and waste services","Supply","2014-15",129167
"Western Australia",5,"Total Electricity, gas, water and waste services","Supply","2014-15",2056882
"Tasmania",6,"Total Electricity, gas, water and waste services","Supply","2014-15",33402491
"Northern Territory",7,"Total Electricity, gas, water and waste services","Supply","2014-15",1760
"Australian Capital Territory",8,"Total Electricity, gas, water and waste services","Supply","2014-15",3321
"Western Australia",5,"Total mining","Supply","2014-15",25254
"Northern Territory",7,"Total mining","Supply","2014-15",14352
"New South Wales",1,"Total Electricity, gas, water and waste services","Supply","2015-16",11070325
"Victoria",2,"Total Electricity, gas, water and waste services","Supply","2015-16",5091486
"Queensland",3,"Total Electricity, gas, water and waste services","Supply","2015-16",993227
"South Australia",4,"Total Electricity, gas, water and waste services","Supply","2015-16",132690
"Western Australia",5,"Total Electricity, gas, water and waste services","Supply","2015-16",2150403
"Tasmania",6,"Total Electricity, gas, water and waste services","Supply","2015-16",31441417
"Northern Territory",7,"Total Electricity, gas, water and waste services","Supply","2015-16",1920
"Australian Capital Territory",8,"Total Electricity, gas, water and waste services","Supply","2015-16",3296
"Western Australia",5,"Total mining","Supply","2015-16",27711
"Northern Territory",7,"Total mining","Supply","2015-16",12672
"New South Wales",1,"Total Electricity, gas, water and waste services","Supply","2016-17",11881330
"Victoria",2,"Total Electricity, gas, water and waste services","Supply","2016-17",4996905
"Queensland",3,"Total Electricity, gas, water and waste services","Supply","2016-17",906802
"South Australia",4,"Total Electricity, gas, water and waste services","Supply","2016-17",138801
"Western Australia",5,"Total Electricity, gas, water and waste services","Supply","2016-17",2112941
"Tasmania",6,"Total Electricity, gas, water and waste services","Supply","2016-17",36032079
"Northern Territory",7,"Total Electricity, gas, water and waste services","Supply","2016-17",917
"Australian Capital Territory",8,"Total Electricity, gas, water and waste services","Supply","2016-17",3392
"Western Australia",5,"Total mining","Supply","2016-17",29513
"Northern Territory",7,"Total mining","Supply","2016-17",9280
"New South Wales",1,"Total Electricity, gas, water and waste services","Supply","2017-18",10483595
"Victoria",2,"Total Electricity, gas, water and waste services","Supply","2017-18",4883241
"Queensland",3,"Total Electricity, gas, water and waste services","Supply","2017-18",1001967
"South Australia",4,"Total Electricity, gas, water and waste services","Supply","2017-18",141142
"Western Australia",5,"Total Electricity, gas, water and waste services","Supply","2017-18",2202389
"Tasmania",6,"Total Electricity, gas, water and waste services","Supply","2017-18",36704648
"Northern Territory",7,"Total Electricity, gas, water and waste services","Supply","2017-18",1220
"Australian Capital Territory",8,"Total Electricity, gas, water and waste services","Supply","2017-18",3132
"Western Australia",5,"Total mining","Supply","2017-18",29242
"Northern Territory",7,"Total mining","Supply","2017-18",8545
"New South Wales",1,"Total Electricity, gas, water and waste services","Supply","2018-19",8196762
"Victoria",2,"Total Electricity, gas, water and waste services","Supply","2018-19",4912030
"Queensland",3,"Total Electricity, gas, water and waste services","Supply","2018-19",981374
"South Australia",4,"Total Electricity, gas, water and waste services","Supply","2018-19",110989
"Western Australia",5,"Total Electricity, gas, water and waste services","Supply","2018-19",2187565
"Tasmania",6,"Total Electricity, gas, water and waste services","Supply","2018-19",36754992
"Northern Territory",7,"Total Electricity, gas, water and waste services","Supply","2018-19",1152
"Australian Capital Territory",8,"Total Electricity, gas, water and waste services","Supply","2018-19",2253
"Western Australia",5,"Total mining","Supply","2018-19",31294
"Northern Territory",7,"Total mining","Supply","2018-19",11283
